Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Hallingeberg,11479,Valid,L3.4,,1944-01-01T00:00:00.000,57.81667,16.23333,"[57, 16]"
Hamlet,11485,Valid,LL4,,1959-01-01T00:00:00.000,41.38333,-86.6,"[41, -86]"
Haraiya,11824,Valid,Eucrite-mmict,,1878-01-01T00:00:00.000,26.8,82.53333,"[26, 82]"
Haripura,11829,Valid,CM2,,1921-01-01T00:00:00.000,28.38333,75.78333,"[28, 75]"
Harleton,11830,Valid,L6,,1961-01-01T00:00:00.000,32.675,-94.51167,"[32, -94]"
Harrison County,11842,Valid,L6,,1859-01-01T00:00:00.000,38.25,-86.16667,"[38, -86]"
Hashima,11848,Valid,H4,,1910-01-01T00:00:00.000,35.2945,136.70033,"[35, 136]"
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",,1890-01-01T00:00:00.000,28.95,0.81667,"[28, 0]"
Hatford,11855,Valid,Stone-uncl,,1628-01-01T00:00:00.000,51.65,-1.51667,"[51, -1]"
Haverö,11859,Valid,Ureilite,,1971-01-01T00:00:00.000,60.24556,22.06194,"[60, 22]"
Hedeskoga,11869,Valid,H5,,1922-01-01T00:00:00.000,55.46667,13.78333,"[55, 13]"
Hedjaz,11870,Valid,L3.7-6,,1910-01-01T00:00:00.000,27.33333,35.66667,"[27, 35]"
Heredia,11875,Valid,H5,,1857-01-01T00:00:00.000,10.0,-84.1,"[10, -84]"
Hessle,11878,Valid,H5,,1869-01-01T00:00:00.000,59.85,17.66667,"[59, 17]"
Higashi-koen,11883,Valid,H5,,1897-01-01T00:00:00.000,33.6,130.43333,"[33, 130]"
High Possil,11884,Valid,L6,,1804-01-01T00:00:00.000,55.9,-4.23333,"[55, -4]"
Hiroshima,11889,Valid,H5,,2003-01-01T00:00:00.000,34.45,132.38333,"[34, 132]"
Hoima,44714,Valid,H6,,2003-01-01T00:00:00.000,1.345,31.47278,"[1, 31]"
Hökmark,11893,Valid,L4,,1954-01-01T00:00:00.000,64.43333,21.2,"[64, 21]"
Holbrook,11894,Valid,L/LL6,,1912-01-01T00:00:00.000,34.9,-110.18333,"[34, -110]"
Holetta,11895,Valid,Stone-uncl,,1923-01-01T00:00:00.000,9.06667,38.41667,"[9, 38]"
Homestead,11901,Valid,L5,,1875-01-01T00:00:00.000,41.8,-91.86667,"[41, -91]"
Honolulu,11904,Valid,L5,,1825-01-01T00:00:00.000,21.3,-157.86667,"[21, -157]"
Hotse,11913,Valid,L6,,1956-01-01T00:00:00.000,35.66667,115.5,"[35, 115]"
Hoxie,11915,Valid,OC,,1963-01-01T00:00:00.000,39.35,-100.45,"[39, -100]"
Hraschina,11916,Valid,"Iron, IID",,1751-01-01T00:00:00.000,46.1,16.33333,"[46, 16]"
Huaxi,54719,Valid,H5,,2010-01-01T00:00:00.000,26.46469,106.63241,"[26, 106]"
Hungen,11986,Valid,H6,,1877-01-01T00:00:00.000,50.3,8.91667,"[50, 8]"
Hvittis,11989,Valid,EL6,,1901-01-01T00:00:00.000,61.18333,22.68333,"[61, 22]"
