Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Patti,18118,Valid,Iron,,1922-01-01T00:00:00.000,38.13333,14.96667,"[38, 14]"
Patwar,18171,Valid,Mesosiderite-A1,,1935-01-01T00:00:00.000,23.15,91.18333,"[23, 91]"
Pavel,18173,Valid,H5,,1966-01-01T00:00:00.000,43.46667,25.51667,"[43, 25]"
Pavlodar (stone),18175,Valid,H5,,1938-01-01T00:00:00.000,52.3,77.03333,"[52, 77]"
Pavlograd,18176,Valid,L6,,1826-01-01T00:00:00.000,48.53333,35.98333,"[48, 35]"
Pavlovka,18177,Valid,Howardite,,1882-01-01T00:00:00.000,52.03333,43.0,"[52, 43]"
Pê,18179,Valid,L6,,1989-01-01T00:00:00.000,11.33367,-3.54217,"[11, -3]"
Peace River,18180,Valid,L6,,1963-01-01T00:00:00.000,56.13333,-117.93333,"[56, -117]"
Peckelsheim,18181,Valid,Diogenite-pm,,1953-01-01T00:00:00.000,51.66667,9.25,"[51, 9]"
Peekskill,18782,Valid,H6,,1992-01-01T00:00:00.000,41.28333,-73.91667,"[41, -73]"
Peña Blanca Spring,18786,Valid,Aubrite,,1946-01-01T00:00:00.000,30.125,-103.11667,"[30, -103]"
Peramiho,18792,Valid,Eucrite-mmict,,1899-01-01T00:00:00.000,-10.66667,35.5,"[-10, 35]"
Perpeti,18793,Valid,L6,,1935-01-01T00:00:00.000,23.325,91.0,"[23, 91]"
Perth,18797,Valid,LL5,,1830-01-01T00:00:00.000,56.4,-3.43333,"[56, -3]"
Pervomaisky,18798,Valid,L6,,1933-01-01T00:00:00.000,56.63333,39.43333,"[56, 39]"
Pesyanoe,18799,Valid,Aubrite,,1933-01-01T00:00:00.000,55.5,66.08333,"[55, 66]"
Pétèlkolé,18800,Valid,H5,,1995-01-01T00:00:00.000,14.052,0.42,"[14, 0]"
Petersburg,18801,Valid,Eucrite-pmict,,1855-01-01T00:00:00.000,35.3,-86.63333,"[35, -86]"
Pettiswood,18804,Valid,Stone-uncl,,1779-01-01T00:00:00.000,53.53333,-7.33333,"[53, -7]"
Phillips County (stone),18808,Valid,L6,,1901-01-01T00:00:00.000,40.0,-99.25,"[40, -99]"
Phu Hong,18809,Valid,H4,,1887-01-01T00:00:00.000,11.25,108.58333,"[11, 108]"
Phum Sambo,18811,Valid,H4,,1933-01-01T00:00:00.000,12.0,105.48333,"[12, 105]"
Phuoc-Binh,18812,Valid,L5,,1941-01-01T00:00:00.000,15.71667,108.1,"[15, 108]"
Piancaldoli,18813,Valid,LL3.4,,1968-01-01T00:00:00.000,44.24417,11.50222,"[44, 11]"
Picote,18816,Valid,Stone-uncl,,1843-01-01T00:00:00.000,41.36667,-6.23333,"[41, -6]"
Pillistfer,18822,Valid,EL6,,1863-01-01T00:00:00.000,58.66667,25.73333,"[58, 25]"
Piplia Kalan,18831,Valid,Eucrite-mmict,,1996-01-01T00:00:00.000,26.03472,73.94167,"[26, 73]"
Piquetberg,18832,Valid,H,,1881-01-01T00:00:00.000,-32.86667,18.71667,"[-32, 18]"
Pirgunje,18834,Valid,L6,,1882-01-01T00:00:00.000,25.8,88.45,"[25, 88]"
Pirthalla,18835,Valid,H6,,1884-01-01T00:00:00.000,29.58333,76.0,"[29, 76]"
Pitts,18837,Valid,"Iron, IAB-ung",,1921-01-01T00:00:00.000,31.95,-83.51667,"[31, -83]"
Plantersville,18846,Valid,H6,,1930-01-01T00:00:00.000,30.7,-96.11667,"[30, -96]"
Pleşcoi,51706,Valid,L5-6,,2008-01-01T00:00:00.000,45.275,26.70972,"[45, 26]"
Ploschkovitz,18849,Valid,L5,,1723-01-01T00:00:00.000,50.53333,14.11667,"[50, 14]"
Pnompehn,18851,Valid,L6,,1868-01-01T00:00:00.000,11.58333,104.91667,"[11, 104]"
Dominion Range 03240,32592,Valid,LL5,,2002-01-01T00:00:00.000,,,"[None, None]"
Pohlitz,18853,Valid,L5,,1819-01-01T00:00:00.000,50.93333,12.13333,"[50, 12]"
Pokhra,18858,Valid,H5,,1866-01-01T00:00:00.000,26.71667,82.66667,"[26, 82]"
Pollen,18860,Valid,CM2,,1942-01-01T00:00:00.000,66.34833,14.015,"[66, 14]"
Pontlyfni,18865,Valid,Winonaite,,1931-01-01T00:00:00.000,53.03639,-4.31944,"[53, -4]"
Portales Valley,18874,Valid,H6,,1998-01-01T00:00:00.000,34.175,-103.295,"[34, -103]"
Portugal,18876,Valid,Stone-uncl,,1796-01-01T00:00:00.000,38.5,-8.0,"[38, -8]"
Po-wang Chen,18879,Valid,LL,,1933-01-01T00:00:00.000,31.41667,118.5,"[31, 118]"
Prambachkirchen,18883,Valid,L6,,1932-01-01T00:00:00.000,48.3025,13.94083,"[48, 13]"
Pribram,18887,Valid,H5,,1959-01-01T00:00:00.000,49.66667,14.03333,"[49, 14]"
Pricetown,18888,Valid,L6,,1893-01-01T00:00:00.000,39.11667,-83.85,"[39, -83]"
Puerto Lápice,45984,Valid,Eucrite-br,,2007-01-01T00:00:00.000,39.35,-3.51667,"[39, -3]"
Pulsora,18899,Valid,H5,,1863-01-01T00:00:00.000,23.36667,75.18333,"[23, 75]"
Pultusk,18901,Valid,H5,,1868-01-01T00:00:00.000,52.76667,21.26667,"[52, 21]"
Punganaru,18902,Valid,Stone-uncl,,1811-01-01T00:00:00.000,13.33333,78.95,"[13, 78]"
Putinga,18905,Valid,L6,,1937-01-01T00:00:00.000,-29.03333,-53.05,"[-29, -53]"
Qidong,18907,Valid,L/LL5,,1982-01-01T00:00:00.000,32.08333,121.5,"[32, 121]"
Qingzhen,18908,Valid,EH3,,1976-01-01T00:00:00.000,26.53333,106.46667,"[26, 106]"
Queen's Mercy,22357,Valid,H6,,1925-01-01T00:00:00.000,-30.11667,28.7,"[-30, 28]"
Quenggouk,22358,Valid,H4,,1857-01-01T00:00:00.000,17.76667,95.18333,"[17, 95]"
Quesa,22360,Valid,"Iron, IAB-ung",,1898-01-01T00:00:00.000,39.0,-0.66667,"[39, 0]"
Quija,22361,Valid,H,,1990-01-01T00:00:00.000,44.61667,126.13333,"[44, 126]"
Quincay,22363,Valid,L6,,1851-01-01T00:00:00.000,46.6,0.25,"[46, 0]"
Raco,22368,Valid,H5,,1957-01-01T00:00:00.000,-26.66667,-65.45,"[-26, -65]"
Raghunathpura,22371,Valid,"Iron, IIAB",,1986-01-01T00:00:00.000,27.72528,76.465,"[27, 76]"
Rahimyar Khan,31302,Valid,L5,,1983-01-01T00:00:00.000,28.225,70.2,"[28, 70]"
Rakovka,22376,Valid,L6,,1878-01-01T00:00:00.000,52.98333,37.03333,"[52, 37]"
Ramnagar,22384,Valid,L6,,1940-01-01T00:00:00.000,26.45,82.9,"[26, 82]"
Rampurhat,22385,Valid,LL,,1916-01-01T00:00:00.000,24.16667,87.76667,"[24, 87]"
Ramsdorf,22386,Valid,L6,,1958-01-01T00:00:00.000,51.88333,6.93333,"[51, 6]"
Ranchapur,22387,Valid,H4,,1917-01-01T00:00:00.000,23.98333,87.08333,"[23, 87]"
Rancho de la Presa,22390,Valid,H5,,1899-01-01T00:00:00.000,19.86667,-100.81667,"[19, -100]"
Rangala,22392,Valid,L6,,1937-01-01T00:00:00.000,25.38333,72.01667,"[25, 72]"
Raoyang,22394,Valid,L6,,1919-01-01T00:00:00.000,38.2,115.7,"[38, 115]"
Ras Tanura,22395,Valid,H6,,1961-01-01T00:00:00.000,26.66667,50.15,"[26, 50]"
Rasgrad,22396,Valid,Stone-uncl,,1740-01-01T00:00:00.000,43.5,26.53333,"[43, 26]"
Ratyn,22398,Valid,Stone-uncl,,1880-01-01T00:00:00.000,52.2,17.98333,"[52, 17]"
Red Canyon Lake,53502,Valid,H5,,2007-01-01T00:00:00.000,38.13742,-119.75812,"[38, -119]"
Reliegos,22584,Valid,L5,,1947-01-01T00:00:00.000,42.475,-5.33333,"[42, -5]"
Rembang,22585,Valid,"Iron, IVA",,1919-01-01T00:00:00.000,-6.73333,111.36667,"[-6, 111]"
Renazzo,22586,Valid,CR2,,1824-01-01T00:00:00.000,44.76667,11.28333,"[44, 11]"
Renca,22587,Valid,L5,,1925-01-01T00:00:00.000,-32.75,-65.28333,"[-32, -65]"
Renqiu,22589,Valid,L6,,1916-01-01T00:00:00.000,38.66667,116.13333,"[38, 116]"
Repeev Khutor,22590,Valid,"Iron, IIF",,1933-01-01T00:00:00.000,48.6,45.66667,"[48, 45]"
Revelstoke,22592,Valid,CI1,,1965-01-01T00:00:00.000,51.33333,-118.95,"[51, -118]"
Rewari,22593,Valid,L6,,1929-01-01T00:00:00.000,28.2,76.66667,"[28, 76]"
Rich Mountain,22597,Valid,L6,,1903-01-01T00:00:00.000,35.03333,-83.03333,"[35, -83]"
Uzcudun,24140,Valid,L,,1948-01-01T00:00:00.000,-44.11667,-66.15,"[-44, -66]"
Richardton,22599,Valid,H5,,1918-01-01T00:00:00.000,46.88333,-102.31667,"[46, -102]"
Richland Springs,22602,Valid,OC,,1980-01-01T00:00:00.000,31.25,-99.03333,"[31, -99]"
Richmond,22603,Valid,LL5,,1828-01-01T00:00:00.000,37.46667,-77.5,"[37, -77]"
Rio Negro,22611,Valid,L4,,1934-01-01T00:00:00.000,-26.1,-49.8,"[-26, -49]"
Rivolta de Bassi,22614,Valid,Stone-uncl,,1491-01-01T00:00:00.000,45.48333,9.51667,"[45, 9]"
Rochester,22637,Valid,H6,,1876-01-01T00:00:00.000,41.08333,-86.28333,"[41, -86]"
Rockhampton,22640,Valid,Stone-uncl,,1895-01-01T00:00:00.000,-23.38333,150.51667,"[-23, 150]"
Roda,22641,Valid,Diogenite,,1871-01-01T00:00:00.000,42.3,0.55,"[42, 0]"
Rodach,22642,Valid,Stone-uncl,,1775-01-01T00:00:00.000,50.35,10.8,"[50, 10]"
Rose City,22766,Valid,H5,,1921-01-01T00:00:00.000,44.51667,-83.95,"[44, -83]"
Rowton,22773,Valid,"Iron, IIIAB",,1876-01-01T00:00:00.000,52.76667,-2.51667,"[52, -2]"
Ruhobobo,22780,Valid,L6,,1976-01-01T00:00:00.000,-1.45,29.83333,"[-1, 29]"
Rumuruti,22782,Valid,R3.8-6,,1934-01-01T00:00:00.000,0.26667,36.53333,"[0, 36]"
Rupota,22783,Valid,L4-6,,1949-01-01T00:00:00.000,-10.26667,38.76667,"[-10, 38]"
Ryechki,22791,Valid,L5,,1914-01-01T00:00:00.000,51.13333,34.5,"[51, 34]"
Sabetmahet,22792,Valid,H5,,1855-01-01T00:00:00.000,27.43333,82.08333,"[27, 82]"
Sabrum,22793,Valid,LL6,,1999-01-01T00:00:00.000,23.08333,91.66667,"[23, 91]"
Sagan,22796,Valid,Stone-uncl,,1636-01-01T00:00:00.000,51.53333,14.88333,"[51, 14]"
Saint-Sauveur,23101,Valid,EH5,,1914-01-01T00:00:00.000,43.73333,1.38333,"[43, 1]"
Saint-Séverin,23102,Valid,LL6,,1966-01-01T00:00:00.000,45.3,0.23333,"[45, 0]"
Sakauchi,23103,Valid,Iron,,1913-01-01T00:00:00.000,35.66667,136.3,"[35, 136]"
Salem,23107,Valid,L6,,1981-01-01T00:00:00.000,44.97917,-122.96944,"[44, -122]"
Salles,23111,Valid,L5,,1798-01-01T00:00:00.000,46.05,4.63333,"[46, 4]"
Salzwedel,23114,Valid,LL5,,1985-01-01T00:00:00.000,52.75,11.05,"[52, 11]"
Samelia,23115,Valid,"Iron, IIIAB",,1921-01-01T00:00:00.000,25.66667,74.86667,"[25, 74]"
San Juan Capistrano,23128,Valid,H6,,1973-01-01T00:00:00.000,33.48472,-117.6625,"[33, -117]"
San Michele,31315,Valid,L6,,2002-01-01T00:00:00.000,43.66667,13.0,"[43, 13]"
San Pedro de Quiles,23130,Valid,L6,,1956-01-01T00:00:00.000,-31.01667,-71.4,"[-31, -71]"
San Pedro Jacuaro,34063,Valid,LL6,,1968-01-01T00:00:00.000,19.76667,-100.65,"[19, -100]"
Santa Barbara,23161,Valid,L4,,1873-01-01T00:00:00.000,-29.2,-51.86667,"[-29, -51]"
Santa Cruz,23164,Valid,CM2,,1939-01-01T00:00:00.000,24.16667,-99.33333,"[24, -99]"
Santa Isabel,23165,Valid,L6,,1924-01-01T00:00:00.000,-33.9,-61.7,"[-33, -61]"
Santa Lucia (2008),50909,Valid,L6,,2008-01-01T00:00:00.000,-31.535556,-68.489444,"[-31, -68]"
São Jose do Rio Preto,23171,Valid,H4,,1962-01-01T00:00:00.000,-20.81,-49.38056,"[-20, -49]"
Saratov,23176,Valid,L4,,1918-01-01T00:00:00.000,52.55,46.55,"[52, 46]"
Sasagase,23187,Valid,H,,1688-01-01T00:00:00.000,34.71667,137.78333,"[34, 137]"
Sauguis,23188,Valid,L6,,1868-01-01T00:00:00.000,43.15,-0.85,"[43, 0]"
Savtschenskoje,23190,Valid,LL4,,1894-01-01T00:00:00.000,47.21667,29.86667,"[47, 29]"
Sayama,23192,Valid,CM2,,1986-01-01T00:00:00.000,35.86667,139.4,"[35, 139]"
Sazovice,23455,Valid,L5,,1934-01-01T00:00:00.000,49.23333,17.56667,"[49, 17]"
Schellin,23457,Valid,L,,1715-01-01T00:00:00.000,53.35,15.05,"[53, 15]"
Schenectady,23458,Valid,H5,,1968-01-01T00:00:00.000,42.86083,-73.95028,"[42, -73]"
Schönenberg,23460,Valid,L6,,1846-01-01T00:00:00.000,48.11667,10.46667,"[48, 10]"
Searsmont,23472,Valid,H5,,1871-01-01T00:00:00.000,44.36667,-69.2,"[44, -69]"
Sediköy,23473,Valid,L6,,1917-01-01T00:00:00.000,38.3,27.13333,"[38, 27]"
Segowlie,23476,Valid,LL6,,1853-01-01T00:00:00.000,26.75,84.78333,"[26, 84]"
Selakopi,23481,Valid,H5,,1939-01-01T00:00:00.000,-7.23333,107.33333,"[-7, 107]"
Seldebourak,23483,Valid,H5,,1947-01-01T00:00:00.000,22.83333,4.98333,"[22, 4]"
Semarkona,23487,Valid,LL3.00,,1940-01-01T00:00:00.000,22.25,79.0,"[22, 79]"
Sena,23495,Valid,H4,,1773-01-01T00:00:00.000,41.71667,-0.05,"[41, 0]"
Senboku,23496,Valid,H6,,1993-01-01T00:00:00.000,39.43833,140.51167,"[39, 140]"
Seoni,23500,Valid,H6,,1966-01-01T00:00:00.000,21.68389,79.50083,"[21, 79]"
Seres,23501,Valid,H4,,1818-01-01T00:00:00.000,41.05,23.56667,"[41, 23]"
Serra de Magé,23502,Valid,Eucrite-cm,,1923-01-01T00:00:00.000,-8.38333,-36.76667,"[-8, -36]"
Sete Lagoas,23504,Valid,H4,,1908-01-01T00:00:00.000,-19.46667,-44.21667,"[-19, -44]"
Sevilla,23508,Valid,LL4,,1862-01-01T00:00:00.000,37.41667,-6.0,"[37, -6]"
Sevrukovo,23509,Valid,L5,,1874-01-01T00:00:00.000,50.61667,36.6,"[50, 36]"
Sfax,23512,Valid,L6,,1989-01-01T00:00:00.000,34.75,10.71667,"[34, 10]"
Shalka,23521,Valid,Diogenite,,1850-01-01T00:00:00.000,23.1,87.3,"[23, 87]"
Sharps,23525,Valid,H3.4,,1921-01-01T00:00:00.000,37.83333,-76.7,"[37, -76]"
Shelburne,23529,Valid,L5,,1904-01-01T00:00:00.000,44.05,-80.16667,"[44, -80]"
Shergotty,23530,Valid,Martian (shergottite),,1865-01-01T00:00:00.000,24.55,84.83333,"[24, 84]"
Sheyang,23531,Valid,L6,,1976-01-01T00:00:00.000,33.65,120.06667,"[33, 120]"
Shikarpur,23534,Valid,L6,,1921-01-01T00:00:00.000,25.85,87.5775,"[25, 87]"
Shuangyang,23582,Valid,H5,,1971-01-01T00:00:00.000,43.5,125.66667,"[43, 125]"
Shupiyan,23583,Valid,H6,,1912-01-01T00:00:00.000,33.71667,74.83333,"[33, 74]"
Shytal,23584,Valid,L6,,1863-01-01T00:00:00.000,24.33333,90.16667,"[24, 90]"
Siena,23586,Valid,LL5,,1794-01-01T00:00:00.000,43.11667,11.6,"[43, 11]"
Sikhote-Alin,23593,Valid,"Iron, IIAB",,1947-01-01T00:00:00.000,46.16,134.65333,"[46, 134]"
Silao,23594,Valid,H5,,1995-01-01T00:00:00.000,20.93333,-101.38333,"[20, -101]"
Silistra,55584,Valid,Achondrite-ung,,1917-01-01T00:00:00.000,44.11667,27.26667,"[44, 27]"
Simmern,23603,Valid,H5,,1920-01-01T00:00:00.000,49.98333,7.53333,"[49, 7]"
Sinai,23606,Valid,L6,,1916-01-01T00:00:00.000,30.9,32.48333,"[30, 32]"
Sindhri,23611,Valid,H5,,1901-01-01T00:00:00.000,26.21667,69.55,"[26, 69]"
Sinnai,23613,Valid,H6,,1956-01-01T00:00:00.000,39.3,9.2,"[39, 9]"
Sioux County,23614,Valid,Eucrite-mmict,,1933-01-01T00:00:00.000,42.58333,-103.66667,"[42, -103]"
Sitathali,23616,Valid,H5,,1875-01-01T00:00:00.000,20.91667,82.58333,"[20, 82]"
Sivas,23617,Valid,H6,,1989-01-01T00:00:00.000,39.82467,36.13583,"[39, 36]"
Sixiangkou,23619,Valid,L5,,1989-01-01T00:00:00.000,32.43333,119.86667,"[32, 119]"
Ski,23621,Valid,L6,,1848-01-01T00:00:00.000,59.73333,10.86667,"[59, 10]"
Slavetic,23626,Valid,H5,,1868-01-01T00:00:00.000,45.68333,15.6,"[45, 15]"
Slobodka,23645,Valid,L4,,1818-01-01T00:00:00.000,55.0,35.0,"[55, 35]"
Soheria,23660,Valid,OC,,1960-01-01T00:00:00.000,27.13333,84.06667,"[27, 84]"
Soko-Banja,23661,Valid,LL4,,1877-01-01T00:00:00.000,43.66667,21.86667,"[43, 21]"
Sologne,23663,Valid,H5,,1860-01-01T00:00:00.000,47.36667,1.73333,"[47, 1]"
Sołtmany,53829,Valid,L6,,2011-01-01T00:00:00.000,54.00883,22.005,"[54, 22]"
Sone,23667,Valid,H5,,1866-01-01T00:00:00.000,35.16667,135.33333,"[35, 135]"
Songyuan,23668,Valid,L6,,1993-01-01T00:00:00.000,45.25,125.0,"[45, 125]"
Sopot,23670,Valid,OC,,1927-01-01T00:00:00.000,44.41667,23.5,"[44, 23]"
Soroti,23671,Valid,"Iron, ungrouped",,1945-01-01T00:00:00.000,1.7,33.63333,"[1, 33]"
St. Caprais-de-Quinsac,23081,Valid,L6,,1883-01-01T00:00:00.000,44.75,0.05,"[44, 0]"
St. Christophe-la-Chartreuse,23082,Valid,L6,,1841-01-01T00:00:00.000,46.95,-1.5,"[46, -1]"
St. Denis Westrem,23083,Valid,L6,,1855-01-01T00:00:00.000,51.05,3.75,"[51, 3]"
St. Germain-du-Pinel,23087,Valid,H6,,1890-01-01T00:00:00.000,48.01667,-1.15,"[48, -1]"
St. Louis,23089,Valid,H4,,1950-01-01T00:00:00.000,38.7,-90.23333,"[38, -90]"
St. Mark's,23090,Valid,EH5,,1903-01-01T00:00:00.000,-32.01667,27.41667,"[-32, 27]"
St. Mary's County,23091,Valid,LL3.3,,1919-01-01T00:00:00.000,38.16667,-76.38333,"[38, -76]"
St. Mesmin,23092,Valid,LL6,,1866-01-01T00:00:00.000,48.45,3.93333,"[48, 3]"
St. Michel,23093,Valid,L6,,1910-01-01T00:00:00.000,61.65,27.2,"[61, 27]"
St.-Chinian,23097,Valid,L6,,1959-01-01T00:00:00.000,43.43333,2.95,"[43, 2]"
Ställdalen,23712,Valid,H5,,1876-01-01T00:00:00.000,59.93333,14.95,"[59, 14]"
Stannern,23713,Valid,Eucrite-mmict,,1808-01-01T00:00:00.000,49.28333,15.56667,"[49, 15]"
Stavropol,23717,Valid,L6,,1857-01-01T00:00:00.000,45.05,41.98333,"[45, 41]"
Ste. Marguerite,23099,Valid,H4,,1962-01-01T00:00:00.000,50.76667,3.0,"[50, 3]"
Sterlitamak,23724,Valid,"Iron, IIIAB",,1990-01-01T00:00:00.000,53.66667,55.98333,"[53, 55]"
Stolzenau,23726,Valid,Stone-uncl,,1647-01-01T00:00:00.000,52.53333,9.05,"[52, 9]"
Stratford,23728,Valid,L6,,1974-01-01T00:00:00.000,41.2,-73.13333,"[41, -73]"
Strathmore,23729,Valid,L6,,1917-01-01T00:00:00.000,56.58333,-3.25,"[56, -3]"
Stretchleigh,23732,Valid,Stone-uncl,,1623-01-01T00:00:00.000,50.38333,-3.95,"[50, -3]"
St-Robert,23733,Valid,H5,,1994-01-01T00:00:00.000,45.96861,-72.97806,"[45, -72]"
Success,23736,Valid,L6,,1924-01-01T00:00:00.000,36.48333,-90.66667,"[36, -90]"
Suchy Dul,23737,Valid,L6,,1969-01-01T00:00:00.000,50.53806,16.26333,"[50, 16]"
Suizhou,23738,Valid,L6,,1986-01-01T00:00:00.000,31.61667,113.46667,"[31, 113]"
Sulagiri,48951,Valid,LL6,,2008-01-01T00:00:00.000,12.66667,78.03333,"[12, 78]"
Sultanpur,23741,Valid,L/LL6,,1916-01-01T00:00:00.000,25.93333,84.28333,"[25, 84]"
Sungach,23745,Valid,H5,,1935-01-01T00:00:00.000,44.86667,133.16667,"[44, 133]"
Supuhee,23760,Valid,H6,,1865-01-01T00:00:00.000,26.71667,84.21667,"[26, 84]"
Sutter's Mill,55529,Valid,C,,2012-01-01T00:00:00.000,38.80389,-120.90806,"[38, -120]"
Sylacauga,23773,Valid,H4,,1954-01-01T00:00:00.000,33.18836,-86.2945,"[33, -86]"
Tabor,23776,Valid,H5,,1753-01-01T00:00:00.000,49.4,14.65,"[49, 14]"
Tadjera,23778,Valid,L5,,1867-01-01T00:00:00.000,36.18333,5.41667,"[36, 5]"
Tagish Lake,23782,Valid,C2-ung,,2000-01-01T00:00:00.000,59.70444,-134.20139,"[59, -134]"
Tahara,23784,Valid,H4/5,,1991-01-01T00:00:00.000,34.72,137.305,"[34, 137]"
Takenouchi,23789,Valid,H5,,1880-01-01T00:00:00.000,35.38333,134.9,"[35, 134]"
Talampaya,23791,Valid,Eucrite-cm,,1995-01-01T00:00:00.000,,,"[None, None]"
Tambakwatu,23795,Valid,L6,,1975-01-01T00:00:00.000,-7.75,112.76667,"[-7, 112]"
Tamdakht,48691,Valid,H5,,2008-01-01T00:00:00.000,31.16333,-7.015,"[31, -7]"
Tané,23801,Valid,L5,,1918-01-01T00:00:00.000,35.43333,136.23333,"[35, 136]"
Taonan,23873,Valid,L5,,1965-01-01T00:00:00.000,45.4,122.9,"[45, 122]"
Tatahouine,23884,Valid,Diogenite,,1931-01-01T00:00:00.000,32.95,10.41667,"[32, 10]"
Tathlith,23885,Valid,L6,,1967-01-01T00:00:00.000,19.38333,43.73333,"[19, 43]"
Tauk,23887,Valid,L6,,1929-01-01T00:00:00.000,35.13333,44.45,"[35, 44]"
Tauti,23888,Valid,L6,,1937-01-01T00:00:00.000,46.71667,23.5,"[46, 23]"
Tenham,23897,Valid,L6,,1879-01-01T00:00:00.000,-25.73333,142.95,"[-25, 142]"
Tennasilm,23898,Valid,L4,,1872-01-01T00:00:00.000,58.03333,26.95,"[58, 26]"
Thal,23908,Valid,H6,,1950-01-01T00:00:00.000,33.4,70.6,"[33, 70]"
Thika,54493,Valid,L6,,2011-01-01T00:00:00.000,-1.00278,37.15028,"[-1, 37]"
Thuathe,23976,Valid,H4/5,,2002-01-01T00:00:00.000,-29.33333,27.58333,"[-29, 27]"
Tianzhang,23984,Valid,H5,,1986-01-01T00:00:00.000,32.94667,118.99,"[32, 118]"
Tieschitz,23989,Valid,H/L3.6,,1878-01-01T00:00:00.000,49.6,17.11667,"[49, 17]"
Tilden,23998,Valid,L6,,1927-01-01T00:00:00.000,38.2,-89.68333,"[38, -89]"
Tillaberi,23999,Valid,L6,,1970-01-01T00:00:00.000,14.25,1.53333,"[14, 1]"
Timochin,24004,Valid,H5,,1807-01-01T00:00:00.000,54.5,35.2,"[54, 35]"
Tirupati,24009,Valid,H6,,1934-01-01T00:00:00.000,13.63333,79.41667,"[13, 79]"
Tissint,54823,Valid,Martian (shergottite),,2011-01-01T00:00:00.000,29.48195,-7.61123,"[29, -7]"
Tjabe,24011,Valid,H6,,1869-01-01T00:00:00.000,-7.08333,111.53333,"[-7, 111]"
Tjerebon,24012,Valid,L5,,1922-01-01T00:00:00.000,-6.66667,106.58333,"[-6, 106]"
Tomakovka,24019,Valid,LL6,,1905-01-01T00:00:00.000,47.85,34.76667,"[47, 34]"
